index	#1 Label	#2 String	#2 String
11	3,3,3	Is #Prince in #Toronto? Rumours fly of surprise show... @masseyhall|||||@ctvottawa @masseyhall  holding suicide prevention event and fundraiser for funeral costs for my cousin who passed on sun|||||@ctvottawa any help with this event even raffle prizes are much appreciated
12	1,2,3,1,3,1,3,3,2,3,2,3,3,2,2,1,3,3	In response to inquiries, we can confirm that Prince will not be performing at @masseyhall tonight.|||||“?!?!? @JillKrajewski @LiveNationON: In response to inquiries, we can confirm that Prince will not be performing at @masseyhall tonight.”|||||“@LiveNationON: In response to inquiries, we can confirm that Prince will not be performing at @masseyhall tonight.” @AdamWylde|||||Err, twist? RT @LiveNationON: In response to inquiries, we can confirm that Prince will not be performing at @masseyhall tonight.|||||Poor suckers in line!  “@LiveNationON: In response to inquiries, we can confirm that Prince will not be performing at @masseyhall tonight.”|||||@SBranisteanu @LiveNationON @masseyhall thank you for that tweet!! MUCHO APPRECIATEO|||||@beets But 3rd Eye Girl will be? Did you ask LN if The Artist Formerly Known As #Prince is playing?|||||This is what it feels like/when doves cry  RT @LiveNationON: we can confirm that Prince will not be performing at @masseyhall tonight.|||||@LiveNationON Soo... Its tomorrow night!? #Prince @masseyhall|||||@brofromanother @LiveNationON @masseyhall WHAT THE HELL EVEN JUST HAPPENED TODAY|||||@ROCKthusiast maybe tomorrow?|||||@LiveNationON @masseyhall it's probably @3RDEYEGIRL|||||@GreenHair14 "Change of plans." Hmmm.|||||@LiveNationON @masseyhall Tomorrow Night?|||||@LiveNationON @masseyhall What about tomorrow night? #Prince in #Toronto still a possibility?|||||“@LiveNationON: In response to inquiries, we can confirm that Prince will not be performing at @masseyhall tonight.” @DinaPugliese|||||There ya go. @KiSS925 RT @LiveNationON: In response to inquiries, we can confirm that Prince will not be performing at @masseyhall tonight.|||||@brofromanother @livenationon @masseyhall aw man! That got my funny bone!
13	1,1,1,1,0,3	Secret Prince show rumored for Toronto tonight|||||“@billboard: Secret Prince show rumored for Toronto tonight ” why does no one ever do secret shows in Ohio? 😔|||||“@billboard: Secret Prince show rumored for Toronto tonight ” @TheBruun|||||“@billboard: Secret Prince show rumored for Toronto tonight ” Wishing this was NYC @pdubfunk|||||@Rachelle_JL I think it sold out in minus 4 minutes.|||||@TheBruun noooooo!
14	1,3,3,3,3,3,3	Clearly prince is having a show in #toronto @TorontoComms #tdot #gta #prince #concert|||||@Stazie_15 @PrincePartyUK @TorontoComms If there's one thing @3RDEYEGIRL fans love more than the music, it's queueing!|||||@ianallen169 @PrincePartyUK @Stazie_15 @TorontoComms @3RDEYEGIRL and boy did we know how to queue mate.|||||@ianallen169 @PrincePartyUK @TorontoComms @3RDEYEGIRL very very true hope it's a heck of a concert.|||||@Stazie_15 @PrincePartyUK @TorontoComms @3RDEYEGIRL I hope you enjoy! Only slightly jealous 😜|||||@ianallen169 @PrincePartyUK @TorontoComms @3RDEYEGIRL I can't go lol I have to work or I would should be amazing.|||||@Stazie_15 Enjoyyyyyy I'm jealous 😩@TorontoComms
15	1,3,3,3,3,3,2,1,3,3,3,3,1,3,3	PRINCE IN TORONTO TONIGHT:@3RDEYEGIRL tweeted this morning to say OTNOROT CALLING, which is Toronto backwards, obviously.... Seems it's on!|||||@PrinceMuseum @3RDEYEGIRL it's a four hour flight from Vancouver to Toronto and I'm so tempted lol|||||@PrinceTaughtMe @3RDEYEGIRL get on board the seduction 747....|||||@PrinceMuseum @3RDEYEGIRL I only wish. The Commodore Ballroom is calling Prince's name with Vancouver, he'll be back around… hopefully!|||||@PrinceTaughtMe if you can make it tonight - do it :)|||||@PrinceMuseum I doubt it! I don't got the money to go all the way out there! If I did, I definitely would! It would be fun! :)|||||@PrinceMuseum and oh my god the show already sold out in Toronto?!?! damn.|||||@PrinceTaughtMe I don't think it's even been on sale yet|||||@PrinceMuseum ohhhh! alright! I was confused because it said "no longer on sale"!|||||@PrinceTaughtMe @PrinceMuseum @3RDEYEGIRL go!!!!! I would if I could!!|||||@PrinceTaughtMe @PrinceMuseum @3RDEYEGIRL I wld def go if I was only 2 hrs away. I once flew 11 hrs 2 C him in Vegas. Best night of my life!|||||@sarah_mccrone @PrinceMuseum @3RDEYEGIRL no moneyyyyy :(|||||@mossequ1 @PrinceMuseum @3RDEYEGIRL it's across the country and 4 hours away lol and it's like $300 I think|||||@PrinceTaughtMe @PrinceMuseum @3RDEYEGIRL oh no:(|||||@sarah_mccrone @PrinceMuseum @3RDEYEGIRL :(
16	1,3,3,3,2,3,3,2,3,3,3	Prince rumoured to be performing in surprise show in Toronto|||||@CTVNews hey @stephb209 ^^^^|||||@CTVNews I guess it's no longer a surprise.|||||@CTVNews IF this were to be happening on Thursday, would consider flying Vancouver to To. in hopes of seeing him live. #OnBucketList|||||@CTVNews Next, maybe Vancouver, B.C?|||||Exciting! Anyone going? RT @CTVNews Prince rumoured to performsurprise show in Toronto|||||“@CTVNews: Prince rumoured to be performing in surprise show in Toronto  ”How cool!|||||@CTVNews  he's still alive???|||||@natashankpr I'll definitely be trying to get tix today!|||||@CTVNews who cares!!!!|||||@CTVNews hahahaha well it's not much of a surprise now is it!? :P
17	1,3,3,3,3	Prince is playing a secret show in Toronto tonight.  I will also be playing a secret show tonight involving pizza &amp; netflix bingeing.|||||@mikeyerxa you should send Prince a set of tennis balls for the legs of his walker.  Easier to slide across stage.|||||@mikeyerxa EXCUSE ME, WHERE'S MY INVITE (to the latter, duh)|||||@halihamilton @mikeyerxa gonna try to make it to both.|||||@NobleRobel Girl, don't be mean.   Age ain't nothing but a number.
18	3,3,1,3,1,3	Is it true? Prince rumoured to be performing surprise show in Toronto|||||@LisaLaFlammeCTV hope not|||||@LisaLaFlammeCTV yep, don't as me how I know, but yep|||||@LisaLaFlammeCTV Do you mean the artist formerly known as "Strange Symbol"?|||||@LisaLaFlammeCTV @CTVToronto a suprise concert on Vancouver would be cool #cmonprince|||||@LisaLaFlammeCTV I am in a line up. It is going down Victoria Street to Queen.
19	1,3,3,0,3,3,3	Prince fans lining up at Massey Hall. Wristbands for surprise show reportedly on sale at 6pm. #Toronto|||||@EntCity @davidleyes|||||@jordanletkemann @EntCity @davidleyes wtf?!?!?!?!|||||@davidleyes @EntCity: I'm crying as well... Don't you worry!|||||@EntCity prince is god|||||@jordanletkemann @EntCity haha!!!! keep your ears open and let me know if you hear anything...i'll do the same!!!|||||@davidleyes: I'm crying purple tears...
20	0,0,1,1,3,2,0,3,2,3	Prince not playing Massey Hall tonight, promoter says|||||.@CBCNews I can also confirm he will not be playing in Rankin Inlet, NU either|||||athenaph what tease!!! RT @CBCNews: Prince not playing Massey Hall tonight, promoter says|||||@CBCNews Of course not. I can't make it tonight. But Saturday.....|||||@CBCNews  lol.|||||@CBCNews good :-)|||||WTW?! @CBCNews: Prince not playing Massey Hall tonight, promoter says  ”|||||“@CBCNews: Prince not playing Massey Hall tonight, promoter says  ” good. I was feeling bitter.|||||@CBCNews And, ... ?When @CBCNews asked Live Nation why no one made this clarification 4 or 5 hours earlier?|||||@CBCNews @PrinceNewsUSA 💜💜💜💜💜💜💜💜💜💜O(+&gt;
21	1,3,0,3,3,3	People talking about stupid shit like government corruption and harassment when Prince is in Toronto smh|||||@FreekmaneJames LOOOOOOOOOOOOOOOOOOOL|||||@FreekmaneJames *holds boom box to air and gets emosh with benji* PURPLE RAIN PURPLE RAINBNNN *insert hard electric guitar here*|||||@tristananthonyJ we should be at this concert|||||@FreekmaneJames tell me we wouldn't show up in the tightest clothes and cry while still being the hardest niggas at a prince concert|||||@tristananthonyJ that's the only concert we could wear heels and still be hard af
22	1,0,3,3,3,3,3,3,3	SYDNEY HOSTAGE-TAKER- Man Monis, 49- Originally from Iran- Self-styled sheikh- Accused of sexually assaulting 7 womenDEVELOPING..|||||@PzFeed @MuhBooLuLu shit tell him to get on Cosby's level|||||@PzFeed @Siren_Six Lol "Self Styled Sheikh" ?I think I'll be Prime Minister then|||||@MuhBooLuLu @PzFeed I also like to see myself as a self-styled billionaire though it doesn't help me with overdraft charges, lol.|||||@PzFeed @IMYSNI Doxed faggot!|||||@Siren_Six @PzFeed Lol|||||@ohK4LEN check @PzFeed|||||@TheDogOG @PzFeed I saw|||||@PzFeed so he's not even muslim? wow this is uh weird
23	1,1,3,1,3,3,3,2,3,3,0,3	#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.|||||“@AusNewsNetwork: #BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.” nooooo|||||@AusNewsNetwork 😖|||||“@AusNewsNetwork: #BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.” NO PLEASE|||||@AusNewsNetwork @Eagle_Vision not good news....|||||“@AusNewsNetwork: #BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.” Please no|||||@AusNewsNetwork noooooo :(((|||||@AusNewsNetwork what's happened to the guy!|||||@AusNewsNetwork NOO..|||||@AusNewsNetwork @1000FormsOfGlen omg no|||||@AusNewsNetwork @richellecox not confirmed|||||@AusNewsNetwork ideally the 2 dead are the ones that were practicing their "Religion of Peace"
24	1,2,0,1,3,0,1,1,3,0	#BREAKING Hostages held inside Sydney cafe, Islamic flag held up|||||@AFP do you enjoy being consistently wrong or is it really inadvertent?|||||@AFP That's not the flag, just looks like it|||||“@AFP: #BREAKING Hostages held inside Sydney cafe, Islamic flag held up” oh god|||||Actually debate on the flag @AFP: #BREAKING Hostages held inside Sydney cafe, Islamic flag held up”|||||NOT the ISIS flag RT “@AFP: #BREAKING Hostages held inside Sydney cafe, Islamic flag held up”|||||#Australia #ISIS #Terrorism@AFP: #BREAKING #Hostages held inside #Sydney cafe, Islamic flag held up|||||"@AFP: #BREAKING Hostages held inside Sydney cafe, Islamic flag held up" &lt;&lt;Terrifying stuff.Nutters&gt;&gt;|||||Thoughts with Sydney tonight. “@AFP: #BREAKING Hostages held inside Sydney cafe, Islamic flag held up”|||||@AFP this is not an "Islamic" flag, not even the ISIS flag. The Islamic community in no way condones these action.
25	1,3,3,1,3,1,1,2,2,3,3,1	Paramedics are currently carrying out a number of hostages in #MartinPl. #SydneySiege #9News|||||@9NewsSyd @charlescwcooke I just pray the hostages will all live to see another day.|||||@9NewsSyd @charlescwcooke I hope I'm wrong, but sounded like 3 shotgun blasts started activity...then automatic weapons fire. 1/2|||||@9NewsSyd @charlescwcooke That would mean worst case: scumbag started shooting hostages and police responded. Hope that is not the case. 2/2|||||@9NewsSyd @marilynmaupin Should have snipered him.|||||@TexasJew I heard (who knows if it's true) there might be explosives.  Not a good time to shot.|||||@TexasJew Aside from that, yeah.|||||@marilynmaupin This peaceful resolution shit just resulted in dead and wounded hostages|||||@TexasJew Again, so far as I can tell, they were worried about explosives, and it appears there was an explosion.|||||@TexasJew My only issue with shooting him in the head was that it's too quick of a death.|||||@marilynmaupin That was probably a flash-boom from police|||||@TexasJew No idea, but Muslim terrorists do love their explosives.
26	1,1,3,3,1,3,1,3,2	Sydney Opera House evacuated, concourse deserted  #SydneySiege (via @cberkman)|||||“@BuzzFeedOz: Sydney Opera House evacuated, concourse deserted  #SydneySiege (via @cberkman) ” 😨|||||@BuzzFeedOz @TFG411 @cberkman My heart and prayers go out to the good people of Sydney and Australia. 🇺🇸 #nyc|||||“@CarolGoldin1: @BuzzFeedOz @TFG411 @cberkman My heart and prayers go out to the good people of Sydney and Australia. 🇺🇸 #nyc” Amen. 🙏|||||“@BuzzFeedOz: Sydney Opera House evacuated, concourse deserted  #SydneySiege (via @cberkman) ”|||||@BuzzFeedOz @TrotAlex @cberkman Hope they rescue the hostages. .and fry the islamutards.|||||RT @BuzzFeedOz: Sydney Opera House evacuated, concourse deserted  #SydneySiege (via @cberkman) ”|||||@BuzzFeedOz @DaddyJim52 @cberkman The cost of terrorism, NUKE IRAN TO HELP STOP THIS.|||||@StarliteGrunt Really want to stop it? Bomb Mecca! Level it. @BuzzFeedOz @cberkman
27	1,3,3,3,3,3,3,3,3,3,3,3,3,3,3	A man believed to be the gunman filmed wearing a black headband inside the cafe|||||@DailyMailAU @DailyMailUK time to finish these Islamic pricks|||||“@DailyMailAU: A man believed to be the gunman filmed wearing a black headband inside the cafe"Filmed? Shoot the bastard #intheface|||||@DailyMailAU @MailOnline its like 9/11 all over again|||||@DailyMailAU @DailyMailUK Is he upset that the cafe didn't serve Halal products?|||||@DailyMailAU @tyrannywatch The West, wake up!|||||@DailyMailAU @MailOnline  Why not take him out? Clear view|||||@DailyMailAU @DailyMailUK  somebody crossed their leg and show him the bottom of their shoe|||||@DailyMailAU Your Tweet Takes Center Stage On|||||@DailyMailAU @joeleigh41  the BBC translated the Arabic letters on the headband and it says.."I CAN"T BREATHE!"...lol|||||@AztlanConnect @DailyMailAU That's funny!!|||||@joeleigh41 @DailyMailAU  in less than 24 hrs his headband will really be telling the tuuth..LOL!|||||@AztlanConnect @DailyMailAU LOL|||||@DailyMailAU @MailOnline  Looks like clean sniper shot.  Should have take him out.  Pigs, scum, low life losers.  All terrorists are evil.|||||The face of terror in Sydney @DailyMailAU
28	0,2,3,0,0,3,3,3,0,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	Sydney airspace wasn't closed. A second terror suspect wasn't arrested. Myths around #sydneysiege debunked.|||||@smh hardly myths. Merely poor, unconfirmed reporting. #sydneysiege|||||@smh impressed with ur news coverage today! nu found respect for your reporters. glad 2 see u didn't follow the daily telegraph #sydneysiege|||||The facts @smh: Sydney airspace wasn't closed. 2nd terror suspect wasn't arrested. Myths of #sydneysiege debunked.|||||@smh @ZJGarred I'm fascinated by Ray Hadley's role in #sydneysiege. Genuine intermediary or opportunistic blowhard?|||||@onewaymule87 @smh from the scuttlebutt I am hearing, what he didn't put to air makes him fascinating intermediary! Still, he has blown hard|||||“@onewaymule87: @smh @ZJGarred I'm fascinated by Ray Hadley's role in #sydneysiege. Genuine intermediary or opportunistic blowhard?”Door B|||||@leftocentre @onewaymule87 @smh @ZJGarred ESpecially as Junior Hadley is a NSW Plod - wonder if he used his contacts to get stuff not public|||||I do so appreciate a debunk story headline/tweet which actually contains debunks rather than a confusing/leading question. @smh|||||@smh #NotASausage|||||@leftocentre @onewaymule87 @smh @ZJGarred err Typhoon Hadley an intermediary???? lol collapses on floor with laughter......|||||Gee that's a conundrum. @onewaymule87 @smh @ZJGarred Ray Hadley Genuine intermediary or opportunistic blowhard?|||||@onewaymule87 @smh @ZJGarred he doesn't need the ratings he's number 1 by a mile|||||Racist shock jocks Jones &amp; Hadley @leftocentre @onewaymule87 @smh @ZJGarred have sent more angry young men into arms of Daesh than anybody!|||||@frankscan65 @onewaymule87 @smh @ZJGarred Yes, more than likely Frankie.|||||@DavidKehoe10 @onewaymule87 @smh @ZJGarred Yes, Whale's Teeth Hadley is as diplomatic a thug as ever bashed a 17 year old.|||||“@smh: Sydney airspace wasn't closed. A second terror suspect wasn't arrested. Myths around #sydneysiege debunked. ”|||||@leftocentre @suthernx @onewaymule87 @smh @ZJGarred Hmmm, I think you and I both know that answer|||||@3canary @leftocentre @onewaymule87 @smh @ZJGarred Lol tell us another !|||||“@RunawayBudgie: @leftocentre @suthernx @onewaymule87 @smh @ZJGarred Hmmm, I think you and I both know that answer”Yep.|||||@leftocentre @RunawayBudgie @onewaymule87 @smh @ZJGarred Sometimes I hate MSM so much|||||“@suthernx: @leftocentre @RunawayBudgie @onewaymule87 @smh @ZJGarred Sometimes I hate MSM so much”Hadley isn't mainstream.|||||@leftocentre @suthernx @RunawayBudgie @onewaymule87 @smh @ZJGarred no way he's a right wing extremist|||||@leftocentre @RunawayBudgie @onewaymule87 @smh @ZJGarred "Most popular Talk- back" say the blurbs|||||@leftocentre @riffraff0001 @onewaymule87 @smh @ZJGarred Doing what Hadley does best|||||@leftocentre @onewaymule87 @smh @ZJGarred Me too lol|||||@leftocentre @suthernx @RunawayBudgie @onewaymule87 @smh @ZJGarred that should be, no way, he's a rw extremist. Which he is.|||||“@chookelini: @leftocentre @suthernx @RunawayBudgie @onewaymule87 @smh @ZJGarred no way he's a right wing extremist”👍|||||@suthernx @RunawayBudgie @onewaymule87 @smh @ZJGarred Yep, but there's nothing mainstream about him.|||||“@johnyD69: @leftocentre @riffraff0001 @onewaymule87 @smh @ZJGarred Doing what Hadley does best”Indeed.|||||“@OrBVIOUS66: @leftocentre @onewaymule87 @smh @ZJGarred Me too lol”👍|||||@chookelini @suthernx @RunawayBudgie @onewaymule87 @smh @ZJGarred Understood.:-)|||||@leftocentre @RunawayBudgie @onewaymule87 @smh @ZJGarred Ray Hadley has rated number one in Sydney since 2004. Truly hope RWNJ's wakeup|||||@suthernx @RunawayBudgie @onewaymule87 @smh @ZJGarred They won't.Hadley feeds the rednecks paranoia with his own ego.
29	1,3,2	We can see people coming out a firedoor near the Lindt cafe to waiting police. 2-3 people. Hard to see. #sydneysiege|||||@lucethoughts @Xenojay have they shot them|||||@lucethoughts @774melbourne does it mean the hostage crisis is over ?
30	1,3,3	Sydney siege: police enter cafe as hostages flee the scene, gunfire heard, reports of an injured person – live|||||@guardiannews thanks so much for sharing. Just added it here:|||||@guardiannews @robcrilly #illridewithyou all the way from Pakistan
31	1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,0,3,2,3,3,3	NSW Police confirm 5 hostages have emerged from #sydneysiege and they are negotiating: "It might take a bit of time"|||||@BBCBreaking why don't Aussie swat take the fucker out??|||||@BBCBreaking a bit of time isn't going to do much good if they start shooting|||||Police confirm they are "monitoring Facebook &amp; Twitter" after reports hostages are tweeting from inside #sydneysiege|||||@BBCBreaking they should not be putting this out there. What happens if someone informs the gunman. This could put lives at risk|||||@BBCBreaking @BBCNews hoping everyone is freed unharmed ... The hostages must be terrified !! Swat team shoot the bastard !!|||||@BBCBreaking everyone still has time to Tweet!|||||@BBCBreaking @BBCNewsAus i dont believe anyone could be posting updates if they r are a hostage...just saying...|||||@BBCBreaking yes there were tweets from inside the cafe. I assume some the hostages had feelings of empathy and sympathy #stockholmsyndrome|||||@BBCBreaking so let me get this straight. Sydney's being evacuated due to hostage situation in a cafe. Aussies are total pussies. #wtffff|||||@BBCBreaking and you thought reporting hostages are tweeting from inside would what?  keep them alive? SHUT YOUR RECKLESS MOUTH|||||@BBCBreaking a simply stupid post by the BBC with no thought for lives #IdiotsAtBBC|||||@bizzyunderscore you scumbag|||||@BBCBreaking how irresponsible tweeting this info, putting innocent lives in jeopardy for a story..shame on you BBC|||||@bizzyunderscore @BBCBreaking Matt you clearly need too come out of the closet you fkn moron - what a ridiculous thing too say.|||||@CLowetweets @BBCBreaking @BBCNewsAus The gunman told them what 2 post...|||||@BBCBreaking  why tell the whole world you morons...|||||In pictures: the #SydneySiege  Follow live updates:|||||@BBCBreaking Hmm... 9/11 hijackers allowed outside contact, too. Hope police get them all out safe.|||||@BBCBreaking The hostage taker possibly knows and is allowing them to be on their phones. I hope that's not a bad sign.|||||@TheRihan @BBCBreaking Stockholm syndrome?  What planet are you on?|||||@BBCBreaking Muslims, again.|||||“In pictures: the #SydneySiege  Follow live updates:  ” rt@BBCBreaking|||||Awful! RT @BBCBreaking: the #SydneySiege  Follow live updates:|||||@marcwinger @BBCBreaking Extremist rather, no true Muslim will do such nonsense act! The world should know this by now...|||||@drusudy @BBCBreaking Muslims are a problem all around the world and your statement is false and a lie.|||||@marcwinger @BBCBreaking I was trying to enlighten you on what a Muslim and Islam is cos you seemed so ignorant! Blame d person not religion|||||@drusudy @BBCBreaking jet so many Muslims around the world are a problem how do you explain that?|||||@marcwinger @BBCBreaking Actually the ones causing the problem are less than 10% , the media makes it seem as if its the whole population.|||||@marcwinger @BBCBreaking There are fallouts in every thing, unfortunately the fallouts here are taking center stage and denting the majority|||||@drusudy So 10% would be about 100 million muslims, being a problem, trouble spots around the world, nothing to do w/ media.
32	1,3,3,3	BREAKING  @SkyBusiness: freed hostage borne high from #sydneysiege w/c.4 paramedic teams on the scene  ( carsonscottLI|||||“@SkyNewsAust: BREAKIN freed hostage borne high from #sydneysiege w/c.4 paramedic teams on the scene|||||@SkyNewsAust @SkyBusiness Why was this mongrel on bail?|||||@SkyNewsAust @SkyBusiness you guys had the slowest report commentary in the world. Worst coverage of such a important part in our history :(
33	1,3,3,3,3	#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.|||||Forced to hold #ISIS flag? MT @SkyNewsAust: BREAKING: Hostages held &amp; siege taking place at #Sydney's Lindt Chocolat Cafe in Martin Place.|||||@SkyNewsAust send your SAS in and fast|||||“@SkyNewsAust: #BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.” @AngieTVLau|||||Wow! I was just there RT @SkyNewsAust: #BREAKING: Hostages are being held &amp; a siege is taking place at Sydney's Lindt Cafe in Martin Place
